Time,Lat,Long,Temp,Prcp,Wvel,Wdir
2020-01-07 03:00:00.0000000,1.79999995,-78.86000061,-0.6111145,0.00013661,4.567715,0.99656606
2020-01-07 06:00:00.0000000,1.79999995,-78.86000061,-0.74128217,0.00018116,4.13893,2.7251651
2020-01-07 09:00:00.0000000,1.79999995,-78.86000061,-0.3198751,0.00019921,7.4204345,2.645717
2020-01-07 12:00:00.0000000,1.79999995,-78.86000061,-0.45387778,0.00025073,7.7848167,2.6495821
2020-01-07 15:00:00.0000000,1.79999995,-78.86000061,-0.41089883,2.22e-05,8.371448,2.6940815
2020-01-07 18:00:00.0000000,1.79999995,-78.86000061,0.16811116,1.13e-05,10.201907,2.8934624
2020-01-07 21:00:00.0000000,1.79999995,-78.86000061,-0.2062378,1.69e-05,11.34428,2.8839219
2020-01-08 00:00:00.0000000,1.79999995,-78.86000061,-0.5589905,0.00032125,10.705947,2.885395
2020-01-08 03:00:00.0000000,1.79999995,-78.86000061,-0.5439046,0.00043464,9.232699,2.8586743
2020-01-08 06:00:00.0000000,1.79999995,-78.86000061,-0.8319194,0.00023046,9.294709,2.8257372
2020-01-08 09:00:00.0000000,1.79999995,-78.86000061,-0.38427734,0.00022698,9.527421,2.7368507
2020-01-08 12:00:00.0000000,1.79999995,-78.86000061,-0.37608847,0.00028399,9.875821,2.8236027
2020-01-08 15:00:00.0000000,1.79999995,-78.86000061,-0.02313232,2.35e-05,11.339185,2.7744083
2020-01-08 18:00:00.0000000,1.79999995,-78.86000061,0.1983134,9.45e-05,11.678672,2.808726
2020-01-08 21:00:00.0000000,1.79999995,-78.86000061,0.05338542,4.43e-05,10.638555,2.8763447
2020-01-09 00:00:00.0000000,1.79999995,-78.86000061,-0.08237711,0.00015033,10.508662,2.795667
2020-01-09 03:00:00.0000000,1.79999995,-78.86000061,-0.04225667,0.00011212,8.884605,2.897054
2020-01-09 06:00:00.0000000,1.79999995,-78.86000061,-0.42223105,0.00018992,9.421188,3.0180619
2020-01-09 09:00:00.0000000,1.79999995,-78.86000061,-0.54452515,3.34e-05,11.783578,-1.0081053
2020-01-09 12:00:00.0000000,1.79999995,-78.86000061,0.27431235,8.85e-05,12.725144,-2.884015
2020-01-09 15:00:00.0000000,1.79999995,-78.86000061,1.0181986,2.39e-05,11.746657,-2.7841437
2020-01-09 18:00:00.0000000,1.79999995,-78.86000061,1.6260172,2.16e-05,12.243282,-2.896534
2020-01-09 21:00:00.0000000,1.79999995,-78.86000061,1.5784912,2.86e-05,13.364846,-2.8942497
2020-01-10 00:00:00.0000000,1.79999995,-78.86000061,1.536611,6.86e-05,13.5994215,-2.8972657
2020-01-10 03:00:00.0000000,1.79999995,-78.86000061,1.454071,6.6e-05,13.1226225,-3.0022736
2020-01-10 06:00:00.0000000,1.79999995,-78.86000061,1.23703,8.17e-05,13.797971,-3.0513842
2020-01-10 09:00:00.0000000,1.79999995,-78.86000061,1.1543579,0.00018982,14.282018,-2.9524848
2020-01-10 12:00:00.0000000,1.79999995,-78.86000061,1.2539572,0.00010663,15.318265,-2.856795
2020-01-10 15:00:00.0000000,1.79999995,-78.86000061,2.0395,1.14e-05,16.071642,-2.9251022
2020-01-10 18:00:00.0000000,1.79999995,-78.86000061,2.2976685,1.26e-05,16.996305,-3.0389092
2020-01-10 21:00:00.0000000,1.79999995,-78.86000061,2.3592937,6.8e-05,19.559555,-1.0457877
2020-01-11 00:00:00.0000000,1.79999995,-78.86000061,1.6489868,9.66e-05,19.190176,3.0101268
2020-01-11 03:00:00.0000000,1.79999995,-78.86000061,0.9064128,0.00024134,18.093279,2.9554436
2020-01-11 06:00:00.0000000,1.79999995,-78.86000061,-0.2582601,0.00028399,15.696517,2.9655173
2020-01-11 09:00:00.0000000,1.79999995,-78.86000061,-0.4630839,0.00026118,14.494159,3.0552375
2020-01-11 12:00:00.0000000,1.79999995,-78.86000061,0.5060933,0.00036538,14.695395,-3.1060238
2020-01-11 15:00:00.0000000,1.79999995,-78.86000061,1.0188599,0.00022677,13.941596,-3.030834
2020-01-11 18:00:00.0000000,1.79999995,-78.86000061,1.203125,3.15e-05,12.854408,-3.0887024
2020-01-11 21:00:00.0000000,1.79999995,-78.86000061,1.3068542,0.00011254,13.087918,0.9962507
2020-01-12 00:00:00.0000000,1.79999995,-78.86000061,1.1405741,0.00012806,12.7463255,2.9417083
2020-01-12 03:00:00.0000000,1.79999995,-78.86000061,0.9284465,0.00031239,12.038413,2.994332
2020-01-12 06:00:00.0000000,1.79999995,-78.86000061,0.071757,0.00033741,11.172473,3.0973642
2020-01-12 09:00:00.0000000,1.79999995,-78.86000061,-0.3445638,0.00021389,11.248233,-1.0416683
2020-01-12 12:00:00.0000000,1.79999995,-78.86000061,0.31627402,0.00016744,12.772483,3.0730553
2020-01-12 15:00:00.0000000,1.79999995,-78.86000061,1.48703,6.34e-05,12.332438,3.102053
2020-01-12 18:00:00.0000000,1.79999995,-78.86000061,1.6857706,7.79e-05,12.239442,3.0704563
2020-01-12 21:00:00.0000000,1.79999995,-78.86000061,1.7666016,9.88e-05,11.750318,1.0008513
2020-01-13 00:00:00.0000000,1.79999995,-78.86000061,1.3074442,0.00025041,11.299788,3.017275
2020-01-13 03:00:00.0000000,1.79999995,-78.86000061,0.6487427,0.00142394,10.42472,2.989277
2020-01-13 06:00:00.0000000,1.79999995,-78.86000061,-0.08499146,0.00121607,9.971264,2.9330351
2020-01-13 09:00:00.0000000,1.79999995,-78.86000061,0.09071859,0.00064852,9.691998,2.9457085
2020-01-13 12:00:00.0000000,1.79999995,-78.86000061,0.8376058,0.00026889,10.109605,2.9778378
2020-01-13 15:00:00.0000000,1.79999995,-78.86000061,1.0213114,4.62e-05,8.880523,2.822379
2020-01-13 18:00:00.0000000,1.79999995,-78.86000061,1.2062378,5.8e-05,9.878242,2.8264332
2020-01-13 21:00:00.0000000,1.79999995,-78.86000061,1.4883219,0.00013365,8.704965,-1.1394082
2020-01-14 00:00:00.0000000,1.79999995,-78.86000061,1.2247009,0.00039431,7.4485908,-1.0681195
2020-01-14 03:00:00.0000000,1.79999995,-78.86000061,1.1782023,0.00138235,6.1105294,2.9221659
2020-01-14 06:00:00.0000000,1.79999995,-78.86000061,0.60687256,0.00268404,7.305088,2.638175
2020-01-14 09:00:00.0000000,1.79999995,-78.86000061,0.3339742,0.00535171,7.085212,2.7467067
2020-01-14 12:00:00.0000000,1.79999995,-78.86000061,0.00326538,0.00506477,6.732763,3.0852396
2020-01-14 15:00:00.0000000,1.79999995,-78.86000061,0.65056354,0.00395004,5.1202483,-1.0034628
2020-01-14 18:00:00.0000000,1.79999995,-78.86000061,1.1350912,0.0010366,5.017366,2.7722247
2020-01-14 21:00:00.0000000,1.79999995,-78.86000061,1.2715555,0.0001402,5.0501637,0.93932134
2020-01-15 00:00:00.0000000,1.79999995,-78.86000061,1.1383362,0.00022328,6.3771596,3.0375662
2020-01-15 03:00:00.0000000,1.79999995,-78.86000061,1.3654989,0.00051329,5.3060203,3.0378466
2020-01-15 06:00:00.0000000,1.79999995,-78.86000061,0.967926,0.000595,5.593492,2.9929657
2020-01-15 09:00:00.0000000,1.79999995,-78.86000061,1.0012614,0.00078703,5.8562074,1.0515012
2020-01-15 12:00:00.0000000,1.79999995,-78.86000061,0.72648114,0.00143703,5.991258,2.765281
2020-01-15 15:00:00.0000000,1.79999995,-78.86000061,0.5994466,0.00100894,3.8499901,-0.92926335
2020-01-15 18:00:00.0000000,1.79999995,-78.86000061,0.2620646,8.13e-05,3.3377693,1.0130725
2020-01-15 21:00:00.0000000,1.79999995,-78.86000061,0.76883954,0.00025432,4.8511457,2.550073
