Time,Lat,Long,SST,SSTa,SS,SSa,Depth
1995-03-27 00:00:00.0000000,2,-78.85,17.0,-0.82171875,32.2,-2.52484375,45
1995-03-27 00:00:00.0000000,2,-78.85,16.9,-0.69757872,32.2,-2.48974894,50
1995-03-27 00:00:00.0000000,2,-78.85,16.7,-0.41300698,32.3,-2.49493488,55
1995-03-27 00:00:00.0000000,2,-78.85,16.6,-0.34767046,32.3,-2.46187273,60
1995-03-27 00:00:00.0000000,2,-78.85,16.4,-0.34206829,32.3,-2.21826829,65
1995-03-27 00:00:00.0000000,2,-78.85,16.4,-0.10737692,32.3,-2.13684103,70
1995-03-27 00:00:00.0000000,2,-78.85,16.2,-0.08866471,32.3,-2.15943529,75
1995-03-27 00:00:00.0000000,2,-78.85,16.1,-0.2634375,32.3,-2.16609167,80
1995-04-24 00:00:00.0000000,2,-78.85,29.7,2.19515758,26.8,-4.52768182,0
1995-04-24 00:00:00.0000000,2,-78.85,29.6,2.12357843,29.7,-3.13690392,5
1995-04-24 00:00:00.0000000,2,-78.85,29.6,2.45699412,29.9,-3.63073333,10
1995-04-24 00:00:00.0000000,2,-78.85,29.5,2.7278,30.0,-3.83314118,15
1995-04-24 00:00:00.0000000,2,-78.85,29.3,3.09742745,30.1,-3.91337451,20
1995-04-24 00:00:00.0000000,2,-78.85,29.3,4.25199216,30.4,-3.74824118,25
1995-04-24 00:00:00.0000000,2,-78.85,28.9,5.24796667,30.5,-3.83955882,30
1995-04-24 00:00:00.0000000,2,-78.85,28.3,5.61743529,30.7,-3.76363137,35
1995-04-24 00:00:00.0000000,2,-78.85,26.1,4.63907647,30.9,-3.66387451,40
1995-04-24 00:00:00.0000000,2,-78.85,21.2,1.19407843,31.1,-3.60840588,45
1995-04-24 00:00:00.0000000,2,-78.85,19.2,-0.28769216,31.1,-3.65673137,50
1995-04-24 00:00:00.0000000,2,-78.85,19.1,0.30313261,31.1,-3.58974783,55
1995-04-24 00:00:00.0000000,2,-78.85,18.6,1.01909211,31.1,-3.61141316,70
1995-05-15 00:00:00.0000000,2,-78.85,28.0,-0.05801905,30.0,-1.56166667,0
1995-05-15 00:00:00.0000000,2,-78.85,27.9,-0.09595556,30.0,-2.05591556,5
1995-05-15 00:00:00.0000000,2,-78.85,27.9,-0.05596364,30.1,-2.26050227,10
1995-05-15 00:00:00.0000000,2,-78.85,27.9,-0.01490909,30.3,-2.36251364,15
1995-05-15 00:00:00.0000000,2,-78.85,27.9,0.12887046,30.3,-2.61487955,20
1995-05-15 00:00:00.0000000,2,-78.85,27.9,0.52017907,30.4,-2.71559535,25
1995-05-15 00:00:00.0000000,2,-78.85,27.9,0.89220455,30.4,-2.87244318,30
1995-05-15 00:00:00.0000000,2,-78.85,27.9,1.79746667,30.4,-3.08841778,35
1995-05-15 00:00:00.0000000,2,-78.85,27.9,3.55494773,30.4,-3.42669546,40
1995-05-15 00:00:00.0000000,2,-78.85,27.6,5.52770909,30.4,-3.76987727,45
1995-05-15 00:00:00.0000000,2,-78.85,27.3,6.98528636,30.4,-3.95695,50
1997-06-11 00:00:00.0000000,2,-78.85,23.0,5.53427333,31.9,-2.78790667,60
1997-06-11 00:00:00.0000000,2,-78.85,22.7,5.37504828,32.4,-2.31278621,65
1997-06-11 00:00:00.0000000,2,-78.85,22.3,5.07046,32.5,-2.07332,70
1997-06-11 00:00:00.0000000,2,-78.85,22.2,5.16221905,32.6,-1.94728571,75
1997-06-11 00:00:00.0000000,2,-78.85,22.3,5.61865294,33.4,-1.0985,80
1997-06-26 00:00:00.0000000,2,-78.85,29.0,1.366275,29.2,-2.25018,0
1997-07-10 00:00:00.0000000,2,-78.85,28.1,0.72217273,33.2,1.83705909,0
1997-07-10 00:00:00.0000000,2,-78.85,27.9,0.49735,33.1,1.07222955,5
1997-07-10 00:00:00.0000000,2,-78.85,27.9,0.52754667,33.1,0.90112444,10
1997-07-10 00:00:00.0000000,2,-78.85,27.9,0.53145778,33.2,0.85813333,15
1997-07-10 00:00:00.0000000,2,-78.85,27.9,0.55222,33.2,0.60804667,20
1997-07-10 00:00:00.0000000,2,-78.85,27.9,0.54394546,33.3,0.66079546,25
1997-07-10 00:00:00.0000000,2,-78.85,27.9,0.62880667,33.5,0.70277111,30
1997-07-10 00:00:00.0000000,2,-78.85,27.8,0.64606744,35.2,2.29722558,35
1997-07-10 00:00:00.0000000,2,-78.85,27.8,1.53879091,35.3,2.22587046,40
1997-07-10 00:00:00.0000000,2,-78.85,27.8,3.54119535,35.4,2.01799535,45
1997-07-10 00:00:00.0000000,2,-78.85,27.8,6.16176818,35.4,1.34519773,50
1997-07-10 00:00:00.0000000,2,-78.85,27.8,9.05851707,32.8,-1.65375366,55
1997-07-10 00:00:00.0000000,2,-78.85,27.1,9.29692439,32.7,-1.77529268,60
1997-07-10 00:00:00.0000000,2,-78.85,21.2,3.8746075,32.8,-1.6022,65
1997-07-10 00:00:00.0000000,2,-78.85,20.9,3.9029946,32.9,-1.41447297,70
1997-07-10 00:00:00.0000000,2,-78.85,20.9,4.12493462,33.1,-1.43713077,75
1997-07-10 00:00:00.0000000,2,-78.85,20.8,4.16212609,33.1,-1.57009565,80
1997-08-12 00:00:00.0000000,2,-78.85,29.2,1.91061579,29.0,-3.10135263,10
1997-08-12 00:00:00.0000000,2,-78.85,29.0,1.73085263,32.0,-0.33570877,20
1997-08-28 00:00:00.0000000,2,-78.85,28.8,1.60286061,30.7,-1.1660697,0
1997-09-15 00:00:00.0000000,2,-78.85,28.7,1.37491177,31.5,0.08723529,0
1997-09-25 00:00:00.0000000,2,-78.85,28.4,1.07491177,28.9,-2.51276471,0
1997-10-09 00:00:00.0000000,2,-78.85,29.8,2.62922609,27.1,-3.04680435,0
1997-10-23 00:00:00.0000000,2,-78.85,28.8,1.62922609,26.0,-4.14680435,0
1997-12-02 00:00:00.0000000,2,-78.85,28.1,1.17723913,27.9,-2.14894348,0
1997-12-17 00:00:00.0000000,2,-78.85,29.1,2.17723913,26.1,-3.94894348,0
1998-01-21 00:00:00.0000000,2,-78.85,29.1,1.97639091,29.8,0.20948636,0
1998-01-21 00:00:00.0000000,2,-78.85,28.4,1.30507955,33.7,2.68167273,5
1998-01-21 00:00:00.0000000,2,-78.85,27.9,2.03600465,27.5,-4.71709535,20
1998-02-12 00:00:00.0000000,2,-78.85,29.3,2.16703077,32.8,3.19769615,0
1998-02-12 00:00:00.0000000,2,-78.85,29.1,2.35458113,32.8,1.23383019,5
1998-02-12 00:00:00.0000000,2,-78.85,29.0,3.58999074,33.1,0.68559444,10
1998-02-12 00:00:00.0000000,2,-78.85,29.0,5.53418889,33.2,-0.07730185,15
1998-02-12 00:00:00.0000000,2,-78.85,29.0,7.09441111,31.2,-2.3581537,20
1998-02-26 00:00:00.0000000,2,-78.85,30.3,3.16703077,29.1,-0.50230385,0
1998-03-12 00:00:00.0000000,2,-78.85,28.1,1.216988,29.0,-2.47722,0
1998-03-26 00:00:00.0000000,2,-78.85,28.4,1.516988,27.6,-3.87722,0
1998-04-14 00:00:00.0000000,2,-78.85,28.0,0.49515758,24.9,-6.42768182,0
1998-05-21 00:00:00.0000000,2,-78.85,28.4,0.34198095,34.6,3.03833333,0
1998-05-21 00:00:00.0000000,2,-78.85,27.4,-0.59595556,34.6,2.54408444,5
1998-05-21 00:00:00.0000000,2,-78.85,27.8,-0.15596364,30.2,-2.16050227,10
1998-05-21 00:00:00.0000000,2,-78.85,27.7,-0.21490909,32.4,-0.26251364,15
1998-05-21 00:00:00.0000000,2,-78.85,27.4,-0.37112955,32.6,-0.31487955,20
1998-05-21 00:00:00.0000000,2,-78.85,27.3,-0.07982093,32.7,-0.41559535,25
2000-08-29 00:00:00.0000000,2,-78.85,15.55,-1.80415,30.9,-3.57522692,55
2000-08-29 00:00:00.0000000,2,-78.85,15.49,-1.40754375,30.7,-3.79702083,60
2000-08-29 00:00:00.0000000,2,-78.85,15.44,-1.21540625,29.8,-4.55240833,65
2000-08-29 00:00:00.0000000,2,-78.85,15.31,-1.13922174,30.4,-3.94165,70
2000-09-14 00:00:00.0000000,2,-78.85,26.67,-0.65508824,32.21,0.79723529,0
2000-09-14 00:00:00.0000000,2,-78.85,26.65,-0.57083171,32.48,0.89393659,5
2000-09-14 00:00:00.0000000,2,-78.85,26.6,-0.61376111,33.11,1.46767116,10
2000-09-14 00:00:00.0000000,2,-78.85,26.6,-0.61169048,34.73,2.90193571,15
2000-09-14 00:00:00.0000000,2,-78.85,26.66,-0.56391429,34.85,2.89666905,20
2000-09-14 00:00:00.0000000,2,-78.85,26.68,-0.5474,35.02,3.07984146,25
2000-09-14 00:00:00.0000000,2,-78.85,26.7,-0.526045,35.02,2.862555,30
2000-09-14 00:00:00.0000000,2,-78.85,26.62,-0.4354975,34.99,2.676165,35
2000-09-14 00:00:00.0000000,2,-78.85,25.61,-0.315115,34.98,2.374815,40
2000-09-14 00:00:00.0000000,2,-78.85,17.13,-4.9543825,34.98,1.567845,45
2000-09-14 00:00:00.0000000,2,-78.85,16.5,-2.0998425,34.98,0.6378625,50
2000-09-14 00:00:00.0000000,2,-78.85,15.59,-1.52252778,34.96,0.29201111,55
2000-09-14 00:00:00.0000000,2,-78.85,15.44,-0.66278824,34.98,0.23553529,60
2001-01-18 00:00:00.0000000,2,-78.85,26.7,-0.42360909,34.97,5.37948636,0
2001-01-18 00:00:00.0000000,2,-78.85,26.63,-0.46492046,35.07,4.05167273,5
2001-01-18 00:00:00.0000000,2,-78.85,26.51,-0.18989302,34.97,3.41036279,10
2001-01-18 00:00:00.0000000,2,-78.85,26.24,0.0440881,34.97,2.95026429,15
2001-01-18 00:00:00.0000000,2,-78.85,25.2,-0.66399535,34.97,2.75290465,20
2001-01-18 00:00:00.0000000,2,-78.85,15.04,-9.72405714,34.93,2.28097619,25
2001-01-18 00:00:00.0000000,2,-78.85,14.69,-8.28622143,34.93,1.64823095,30
2001-01-18 00:00:00.0000000,2,-78.85,14.48,-6.25529286,34.93,1.11075952,35
2001-01-18 00:00:00.0000000,2,-78.85,14.59,-3.94101667,34.91,0.59537619,40
2001-01-18 00:00:00.0000000,2,-78.85,14.5,-2.99534762,34.91,0.51736191,45
2001-01-18 00:00:00.0000000,2,-78.85,14.4,-1.53251026,31.7,-2.85931795,60
2001-01-18 00:00:00.0000000,2,-78.85,14.35,-1.30778182,31.98,-2.42936667,65
2001-01-18 00:00:00.0000000,2,-78.85,14.34,-1.1182375,32.24,-1.7974125,70
2001-01-18 00:00:00.0000000,2,-78.85,14.28,-1.289935,32.53,-1.737085,75
2001-02-14 00:00:00.0000000,2,-78.85,26.67,-0.46296923,34.85,5.24769615,0
2001-02-14 00:00:00.0000000,2,-78.85,26.45,-0.29541887,34.85,3.28383019,5
2001-02-14 00:00:00.0000000,2,-78.85,25.96,0.54999074,34.88,2.46559444,10
2001-02-14 00:00:00.0000000,2,-78.85,24.5,1.03418889,34.91,1.63269815,15
2001-02-14 00:00:00.0000000,2,-78.85,16.61,-5.29558889,34.91,1.3518463,20
2001-02-14 00:00:00.0000000,2,-78.85,16.22,-3.26443396,34.92,0.66701321,30
2001-02-14 00:00:00.0000000,2,-78.85,16.09,-1.920425,34.93,0.45603269,40
2001-02-14 00:00:00.0000000,2,-78.85,16.09,-1.479824,34.93,0.393596,45
2001-02-14 00:00:00.0000000,2,-78.85,16.09,-1.190834,34.94,0.429632,50
2001-02-14 00:00:00.0000000,2,-78.85,15.93,-0.32356667,34.93,0.50359744,60
2001-02-14 00:00:00.0000000,2,-78.85,15.67,-0.43891111,34.92,0.37911111,70
2001-03-15 00:00:00.0000000,2,-78.85,25.33,-1.553012,34.56,3.08278,0
2001-03-15 00:00:00.0000000,2,-78.85,25.13,-1.42014706,34.58,2.11360392,5
2001-03-15 00:00:00.0000000,2,-78.85,21.14,-4.31237255,34.62,1.4260902,10
2001-03-15 00:00:00.0000000,2,-78.85,19.9,-4.10091569,34.64,0.96744706,15
2001-03-15 00:00:00.0000000,2,-78.85,19.43,-3.01784902,34.65,0.7232549,20
2001-03-15 00:00:00.0000000,2,-78.85,19.39,-1.78502941,34.67,0.4954,25
2001-03-15 00:00:00.0000000,2,-78.85,19.18,-0.67481569,34.73,0.41340196,30
2001-03-15 00:00:00.0000000,2,-78.85,19.03,0.154636,34.74,0.196208,35
2001-03-15 00:00:00.0000000,2,-78.85,18.91,0.76516531,34.76,0.11829388,40
2001-03-15 00:00:00.0000000,2,-78.85,18.89,1.06828125,34.87,0.14515625,45
2001-03-15 00:00:00.0000000,2,-78.85,18.33,1.38232955,33.02,-1.74187273,60
2001-03-15 00:00:00.0000000,2,-78.85,17.42,0.67793171,33.03,-1.48826829,65
2001-03-15 00:00:00.0000000,2,-78.85,17.15,0.64262308,33.17,-1.26684103,70
2001-03-15 00:00:00.0000000,2,-78.85,16.91,0.62133529,34.05,-0.40943529,75
2001-04-18 00:00:00.0000000,2,-78.85,26.76,-0.74484242,34.79,3.46231818,0
2001-04-18 00:00:00.0000000,2,-78.85,26.75,-0.72642157,34.86,2.02309608,5
2001-04-18 00:00:00.0000000,2,-78.85,26.57,-0.57300588,34.86,1.32926667,10
2001-04-18 00:00:00.0000000,2,-78.85,24.03,-2.7422,34.94,1.10685882,15
2001-04-18 00:00:00.0000000,2,-78.85,20.9,-5.30257255,34.96,0.94662549,20
2001-04-18 00:00:00.0000000,2,-78.85,20.31,-4.73800784,34.96,0.81175882,25
2001-04-18 00:00:00.0000000,2,-78.85,18.8,-4.85203333,34.94,0.60044118,30
2001-04-18 00:00:00.0000000,2,-78.85,18.07,-4.61256471,34.95,0.48636863,35
2001-04-18 00:00:00.0000000,2,-78.85,17.5,-3.96092353,34.95,0.38612549,40
2001-04-18 00:00:00.0000000,2,-78.85,17.1,-2.90592157,34.96,0.25159412,45
2001-04-18 00:00:00.0000000,2,-78.85,17.0,-2.48769216,34.95,0.19326863,50
2001-04-18 00:00:00.0000000,2,-78.85,16.93,-1.86686739,34.95,0.26025217,55
2001-04-18 00:00:00.0000000,2,-78.85,16.73,-0.8509079,33.43,-1.28141316,70
2001-04-18 00:00:00.0000000,2,-78.85,16.68,-0.61246667,33.44,-1.15343667,75
2001-04-18 00:00:00.0000000,2,-78.85,16.62,0.04707727,33.93,-0.62543182,80
2001-05-11 00:00:00.0000000,2,-78.85,27.47,-0.58801905,34.53,2.96833333,0
2001-05-11 00:00:00.0000000,2,-78.85,27.46,-0.53595556,34.62,2.56408444,5
2001-05-11 00:00:00.0000000,2,-78.85,27.49,-0.46596364,34.62,2.25949773,10
2001-05-11 00:00:00.0000000,2,-78.85,27.16,-0.75490909,34.8,2.13748636,15
2001-05-11 00:00:00.0000000,2,-78.85,27.06,-0.71112955,34.87,1.95512046,20
2001-05-11 00:00:00.0000000,2,-78.85,26.78,-0.59982093,34.96,1.84440465,25
2001-05-11 00:00:00.0000000,2,-78.85,23.7,-3.30779546,34.95,1.67755682,30
2001-05-11 00:00:00.0000000,2,-78.85,23.05,-3.05253333,34.94,1.45158222,35
2001-05-11 00:00:00.0000000,2,-78.85,20.45,-3.89505227,34.93,1.10330455,40
2001-05-11 00:00:00.0000000,2,-78.85,17.95,-4.12229091,34.9,0.73012273,45
2001-05-11 00:00:00.0000000,2,-78.85,17.37,-2.94471364,34.87,0.51305,50
2001-05-11 00:00:00.0000000,2,-78.85,16.95,-2.28049,34.88,0.3635425,55
2001-05-11 00:00:00.0000000,2,-78.85,16.93,-1.4735079,34.86,0.26539737,60
2001-05-11 00:00:00.0000000,2,-78.85,16.89,-1.22753333,34.84,0.20797879,65
2001-05-11 00:00:00.0000000,2,-78.85,16.8,-0.82110345,34.83,0.20715517,70
2001-06-13 00:00:00.0000000,2,-78.85,27.34,-0.293725,32.86,1.40982,0
2001-06-13 00:00:00.0000000,2,-78.85,27.37,-0.41637111,32.87,0.92240889,5
2001-06-13 00:00:00.0000000,2,-78.85,27.39,-0.40169556,32.91,0.81206,10
2001-06-13 00:00:00.0000000,2,-78.85,27.42,-0.36868444,33.21,0.94986222,15
2001-06-13 00:00:00.0000000,2,-78.85,27.38,-0.37983333,34.33,1.77185778,20
2001-06-13 00:00:00.0000000,2,-78.85,27.34,-0.21079524,34.93,2.09578571,30
2001-06-13 00:00:00.0000000,2,-78.85,26.98,2.15000238,34.87,1.3379881,40
2001-06-13 00:00:00.0000000,2,-78.85,25.23,3.57576829,34.92,0.73610976,45
2001-06-13 00:00:00.0000000,2,-78.85,21.03,1.01060256,35.0,0.52031539,50
2001-06-13 00:00:00.0000000,2,-78.85,17.41,0.18046,32.57,-2.00332,70
2001-06-13 00:00:00.0000000,2,-78.85,16.7,-0.33778095,32.54,-2.00728571,75
2001-06-13 00:00:00.0000000,2,-78.85,16.27,-0.41134706,32.59,-1.9085,80
2001-07-18 00:00:00.0000000,2,-78.85,26.98,-0.39782727,33.01,1.64705909,0
2001-07-18 00:00:00.0000000,2,-78.85,27.0,-0.36854222,32.52,0.17813333,15
1998-05-21 00:00:00.0000000,2,-78.85,27.3,0.29220455,32.8,-0.47244318,30
1998-05-21 00:00:00.0000000,2,-78.85,27.2,1.09746667,34.1,0.61158222,35
1998-06-11 00:00:00.0000000,2,-78.85,27.8,0.166275,25.7,-5.75018,0
1998-06-25 00:00:00.0000000,2,-78.85,27.1,-0.533725,32.2,0.74982,0
1998-06-25 00:00:00.0000000,2,-78.85,28.7,0.91362889,32.4,0.45240889,5
1998-06-25 00:00:00.0000000,2,-78.85,28.7,0.90830444,32.5,0.40206,10
1998-06-25 00:00:00.0000000,2,-78.85,28.7,0.91131556,32.4,0.13986222,15
1998-06-25 00:00:00.0000000,2,-78.85,28.6,0.84016667,32.5,-0.05814222,20
1998-06-25 00:00:00.0000000,2,-78.85,28.5,0.76734651,32.6,-0.10997209,25
1998-07-14 00:00:00.0000000,2,-78.85,26.9,-0.47782727,31.0,-0.36294091,0
1998-07-14 00:00:00.0000000,2,-78.85,26.8,-0.60265,29.8,-2.22777046,5
1998-07-14 00:00:00.0000000,2,-78.85,26.7,-0.67245333,31.3,-0.89887556,10
1998-07-14 00:00:00.0000000,2,-78.85,26.2,-1.16854222,31.8,-0.54186667,15
1998-07-28 00:00:00.0000000,2,-78.85,22.5,-4.87782727,31.0,-0.36294091,0
1998-09-18 00:00:00.0000000,2,-78.85,27.5,0.17491177,30.5,-0.91276471,0
1998-09-18 00:00:00.0000000,2,-78.85,26.6,-0.62083171,30.5,-1.08606342,5
1998-09-18 00:00:00.0000000,2,-78.85,26.6,-0.61376111,30.5,-1.14232884,10
1998-09-18 00:00:00.0000000,2,-78.85,26.6,-0.61169048,30.6,-1.22806429,15
1998-09-18 00:00:00.0000000,2,-78.85,26.7,-0.52391429,30.7,-1.25333095,20
1998-09-18 00:00:00.0000000,2,-78.85,26.7,-0.5274,30.8,-1.14015854,25
1998-09-28 00:00:00.0000000,2,-78.85,27.2,-0.12508824,30.6,-0.81276471,0
1998-09-28 00:00:00.0000000,2,-78.85,24.7,-2.52083171,30.6,-0.98606342,5
1998-09-28 00:00:00.0000000,2,-78.85,24.7,-2.51376111,30.7,-0.94232884,10
1998-09-28 00:00:00.0000000,2,-78.85,24.8,-2.41169048,31.0,-0.82806429,15
1998-09-28 00:00:00.0000000,2,-78.85,24.9,-2.32391429,31.1,-0.85333095,20
1998-09-28 00:00:00.0000000,2,-78.85,24.9,-2.3274,31.3,-0.64015854,25
1998-10-15 00:00:00.0000000,2,-78.85,27.4,0.22922609,30.2,0.05319565,0
1998-10-28 00:00:00.0000000,2,-78.85,27.1,-0.07077391,30.9,0.75319565,0
1998-11-12 00:00:00.0000000,2,-78.85,27.0,-0.11145,30.3,0.02014546,0
1998-11-26 00:00:00.0000000,2,-78.85,26.9,-0.21145,34.6,4.32014546,0
1998-11-26 00:00:00.0000000,2,-78.85,21.0,-5.99198293,34.6,3.62729268,5
1999-07-15 00:00:00.0000000,2,-78.85,26.8,-0.57782727,31.5,0.13705909,0
1999-07-29 00:00:00.0000000,2,-78.85,26.5238,-0.85402727,33.0514,1.68845909,0
1999-07-29 00:00:00.0000000,2,-78.85,26.3945,-0.97795333,34.2934,2.09452444,10
1999-07-29 00:00:00.0000000,2,-78.85,25.772,-1.57578,34.9564,2.36444667,20
1999-07-29 00:00:00.0000000,2,-78.85,25.7009,-1.57029333,34.9558,2.15857111,30
1999-07-29 00:00:00.0000000,2,-78.85,18.6234,-7.63780909,34.9882,1.91407046,40
1999-07-29 00:00:00.0000000,2,-78.85,16.3255,-5.31273182,34.9857,0.93089773,50
1999-07-29 00:00:00.0000000,2,-78.85,16.1125,-1.69057561,31.7,-2.77529268,60
1999-07-29 00:00:00.0000000,2,-78.85,15.9015,-1.09550541,31.9,-2.41447297,70
1999-08-12 00:00:00.0000000,2,-78.85,26.65,-0.54713939,32.33,0.4639303,0
1999-08-12 00:00:00.0000000,2,-78.85,26.65,-0.62523214,32.55,0.54406429,5
1999-08-12 00:00:00.0000000,2,-78.85,26.6,-0.68938421,33.4,1.29864737,10
1999-08-12 00:00:00.0000000,2,-78.85,26.6,-0.64825179,34.96,2.67373571,15
1999-08-12 00:00:00.0000000,2,-78.85,26.62,-0.64914737,34.98,2.64429123,20
1999-08-12 00:00:00.0000000,2,-78.85,26.48,-0.7237375,34.97,2.5853625,25
1999-08-12 00:00:00.0000000,2,-78.85,26.52,-0.62325536,35.0,2.52639107,30
1999-08-12 00:00:00.0000000,2,-78.85,26.25,-0.25379107,35.0,2.30624464,35
