Time,Lat,Long,SST,SSH,SS
2020-09-05 00:00:00.0000000,2,-78.83333588,27.43672,0.319834,32.45491
2020-09-06 00:00:00.0000000,2,-78.83333588,27.401562,0.32624286,32.49611
2020-09-07 00:00:00.0000000,2,-78.83333588,27.44258,0.32044435,32.564777
2020-09-08 00:00:00.0000000,2,-78.83333588,27.501175,0.3277688,32.605976
2020-09-09 00:00:00.0000000,2,-78.83333588,27.682821,0.31220436,32.580036
2020-09-10 00:00:00.0000000,2,-78.83333588,27.743614,0.28412732,32.45186
2020-09-11 00:00:00.0000000,2,-78.83333588,27.605183,0.27161473,32.04138
2020-09-12 00:00:00.0000000,2,-78.83333588,27.619831,0.29328287,32.265694
2020-09-13 00:00:00.0000000,2,-78.83333588,27.542925,0.29450363,32.2779
2020-09-14 00:00:00.0000000,2,-78.83333588,27.536331,0.29328287,32.232124
2020-09-15 00:00:00.0000000,2,-78.83333588,27.432325,0.29511398,32.250435
2020-09-16 00:00:00.0000000,2,-78.83333588,27.467484,0.29023102,32.29621
2020-09-17 00:00:00.0000000,2,-78.83333588,27.424269,0.29114658,32.284004
2020-09-18 00:00:00.0000000,2,-78.83333588,27.474075,0.28962067,32.258064
2020-09-19 00:00:00.0000000,2,-78.83333588,27.45503,0.26886806,32.24891
2020-09-20 00:00:00.0000000,2,-78.83333588,27.438917,0.26154363,32.236702
2020-09-21 00:00:00.0000000,2,-78.83333588,27.419874,0.26154363,32.216866
2020-09-22 00:00:00.0000000,2,-78.83333588,27.38911,0.2783288,32.201607
2020-09-23 00:00:00.0000000,2,-78.83333588,27.350292,0.2993866,32.221443
2020-09-24 00:00:00.0000000,2,-78.83333588,27.303415,0.28504288,32.239754
2020-09-25 00:00:00.0000000,2,-78.83333588,27.325388,0.28168583,32.239754
2020-09-26 00:00:00.0000000,2,-78.83333588,27.369335,0.2847377,32.232124
2020-09-27 00:00:00.0000000,2,-78.83333588,27.572222,0.286874,32.210762
2020-09-28 00:00:00.0000000,2,-78.83333588,27.46968,0.2639851,32.20771
2020-09-29 00:00:00.0000000,2,-78.83333588,27.32319,0.24719992,32.209236
2020-09-30 00:00:00.0000000,2,-78.83333588,27.273384,0.24445327,32.247383
2020-10-01 00:00:00.0000000,2,-78.83333588,27.224312,0.2807703,32.284004
2020-10-02 00:00:00.0000000,2,-78.83333588,27.215523,0.3048799,32.319103
2020-10-03 00:00:00.0000000,2,-78.83333588,27.334177,0.29969177,32.343517
2020-10-04 00:00:00.0000000,2,-78.83333588,27.353954,0.29541916,32.351147
2020-10-05 00:00:00.0000000,2,-78.83333588,27.297556,0.2969451,32.361828
2020-10-06 00:00:00.0000000,2,-78.83333588,27.215523,0.2929777,32.299263
2020-10-07 00:00:00.0000000,2,-78.83333588,27.259468,0.2865688,32.366405
2020-10-08 00:00:00.0000000,2,-78.83333588,27.253609,0.27680287,32.39845
2020-10-09 00:00:00.0000000,2,-78.83333588,27.208197,0.27954954,32.430492
2020-10-10 00:00:00.0000000,2,-78.83333588,27.382519,0.27741325,32.387768
2020-10-11 00:00:00.0000000,2,-78.83333588,27.353954,0.2639851,32.30384
2020-10-12 00:00:00.0000000,2,-78.83333588,27.33198,0.2789392,32.30384
2020-10-13 00:00:00.0000000,2,-78.83333588,27.356152,0.27954954,32.326733
2020-10-14 00:00:00.0000000,2,-78.83333588,27.490189,0.2624592,32.30842
2020-10-15 00:00:00.0000000,2,-78.83333588,27.561235,0.28412732,32.253487
2020-10-16 00:00:00.0000000,2,-78.83333588,27.51509,0.30640584,32.181767
2020-10-17 00:00:00.0000000,2,-78.83333588,27.443312,0.30030215,32.16956
2020-10-18 00:00:00.0000000,2,-78.83333588,27.466751,0.28351694,32.19245
2020-10-19 00:00:00.0000000,2,-78.83333588,27.494583,0.28534806,32.19703
2020-10-20 00:00:00.0000000,2,-78.83333588,27.577349,0.2929777,32.157352
