Time,Temp,Prcp,Wvel,Wdir,Long,Lat
2021-01-03 13:00:00,25.7,0.0,3.188333333333333,268.0,-78.73,1.82
2021-01-03 14:00:00,25.7,0.0,1.49,303.8333333333333,-78.73,1.82
2021-01-03 15:00:00,26.1,0.0,2.37,300.3333333333333,-78.73,1.82
2021-01-03 16:00:00,26.2,0.0,2.5116666666666667,294.1666666666667,-78.73,1.82
2021-01-03 17:00:00,25.8,0.0,2.6666666666666665,302.5,-78.73,1.82
2021-01-03 18:00:00,25.5,0.0,1.5116666666666667,301.5,-78.73,1.82
2021-01-03 19:00:00,25.1,0.0,1.07,301.6666666666667,-78.73,1.82
2021-01-03 20:00:00,24.9,0.0,0.565,307.8333333333333,-78.73,1.82
2021-01-03 21:00:00,24.6,0.0,0.5416666666666666,321.8333333333333,-78.73,1.82
2021-01-03 22:00:00,24.6,0.0,0.6066666666666666,292.3333333333333,-78.73,1.82
2021-01-03 23:00:00,24.5,0.0,0.8916666666666666,301.6666666666667,-78.73,1.82
2021-01-04 00:00:00,24.5,0.0,0.5716666666666667,270.6666666666667,-78.73,1.82
2021-01-04 01:00:00,24.3,0.0,1.2866666666666668,239.16666666666666,-78.73,1.82
2021-01-04 02:00:00,24.3,0.0,1.1066666666666667,196.5,-78.73,1.82
2021-01-04 03:00:00,24.1,0.0,1.5033333333333332,191.0,-78.73,1.82
2021-01-04 04:00:00,24.3,0.0,1.865,163.5,-78.73,1.82
2021-01-04 05:00:00,24.3,0.0,2.013333333333333,163.83333333333334,-78.73,1.82
2021-01-04 06:00:00,24.4,0.0,1.7349999999999997,163.5,-78.73,1.82
2021-01-04 07:00:00,24.5,0.0,1.4416666666666667,169.0,-78.73,1.82
2021-01-04 08:00:00,24.5,0.30000000000000004,2.731666666666667,195.83333333333334,-78.73,1.82
2021-01-04 09:00:00,24.2,0.0,3.0849999999999995,202.66666666666666,-78.73,1.82
2021-01-04 10:00:00,25.1,0.0,3.6316666666666664,224.0,-78.73,1.82
2021-01-04 11:00:00,25.5,0.0,3.5366666666666666,214.5,-78.73,1.82
2021-01-04 12:00:00,26.4,0.0,2.9,224.16666666666666,-78.73,1.82
2021-01-04 13:00:00,26.0,0.0,3.435,274.8333333333333,-78.73,1.82
2021-01-04 14:00:00,26.8,0.0,2.986666666666667,260.1666666666667,-78.73,1.82
2021-01-04 15:00:00,26.9,0.0,2.8816666666666664,286.8333333333333,-78.73,1.82
2021-01-04 16:00:00,26.9,0.0,3.535,290.8333333333333,-78.73,1.82
2021-01-04 17:00:00,26.3,0.0,3.268333333333334,283.3333333333333,-78.73,1.82
2021-01-04 18:00:00,25.8,0.0,4.241666666666667,279.0,-78.73,1.82
2021-01-04 19:00:00,25.6,0.0,2.5866666666666664,276.3333333333333,-78.73,1.82
2021-01-04 20:00:00,25.5,0.0,2.66,263.0,-78.73,1.82
2021-01-04 21:00:00,25.3,0.0,2.676666666666667,267.1666666666667,-78.73,1.82
2021-01-04 22:00:00,25.3,0.0,2.4483333333333337,265.6666666666667,-78.73,1.82
2021-01-04 23:00:00,25.4,0.0,2.661666666666667,259.3333333333333,-78.73,1.82
2021-01-05 00:00:00,25.1,0.0,2.731666666666667,250.83333333333334,-78.73,1.82
2021-01-05 01:00:00,24.9,0.0,2.006666666666667,251.5,-78.73,1.82
2021-01-05 02:00:00,24.5,0.0,1.6566666666666665,249.66666666666666,-78.73,1.82
2021-01-05 03:00:00,24.5,0.0,1.8200000000000003,239.66666666666666,-78.73,1.82
2021-01-05 04:00:00,24.4,0.0,2.1,251.0,-78.73,1.82
2021-01-05 05:00:00,24.6,0.0,2.34,256.3333333333333,-78.73,1.82
2021-01-05 06:00:00,24.6,0.0,2.3349999999999995,231.83333333333334,-78.73,1.82
2021-01-05 07:00:00,24.4,0.0,2.48,205.66666666666666,-78.73,1.82
2021-01-05 08:00:00,24.7,0.0,3.4166666666666674,183.0,-78.73,1.82
2021-01-05 09:00:00,25.3,0.0,3.6466666666666665,209.5,-78.73,1.82
2021-01-05 10:00:00,25.8,0.0,3.313333333333333,219.83333333333334,-78.73,1.82
2021-01-05 11:00:00,25.8,0.0,1.955,215.83333333333334,-78.73,1.82
2021-01-05 12:00:00,26.6,0.0,1.825,207.0,-78.73,1.82
2021-01-05 13:00:00,27.1,0.0,3.448333333333333,255.33333333333334,-78.73,1.82
2021-01-05 14:00:00,27.5,0.0,2.953333333333333,297.6666666666667,-78.73,1.82
2021-01-05 15:00:00,27.5,0.0,3.24,274.6666666666667,-78.73,1.82
2021-01-05 16:00:00,26.8,0.0,3.345,288.6666666666667,-78.73,1.82
2021-01-05 17:00:00,26.4,0.0,3.448333333333333,293.0,-78.73,1.82
2021-01-05 18:00:00,26.0,0.0,2.408333333333333,288.5,-78.73,1.82
2021-01-05 19:00:00,25.8,0.0,2.81,295.0,-78.73,1.82
